UserName,UserId,CommentTime
張宇婕,100000204216043,2018年6月16日 21:55
陳柏宇,100007586854812,2018年6月16日 21:58
陳佳鉞,jiayue.chen.5,2018年6月16日 22:00
施佩伶,100000191693225,2018年6月16日 22:01
張晉嘉,brian.chang.528,2018年6月16日 22:02
謝欣妤,la.jiao.984,2018年6月16日 22:03
陳奇異,kisea616,2018年6月16日 22:10
郁智,100005082394396,2018年6月16日 22:15
褚樂凌,imdaidai0701,2018年6月16日 22:18
翁顥恩,ha.chu1,2018年6月16日 22:21
孫玄力,jerry.sun.7121,2018年6月16日 22:26
林雅萱,ro.ze.7771,2018年6月16日 22:31
林詩庭,Yechi030o0,2018年6月16日 22:33
謝豐嶸,maybe76826,2018年6月16日 22:43
許浚瑋,100003149727506,2018年6月16日 22:44
姵妤,peggy.chan.37819,2018年6月16日 22:45
Wei Ci Ling,vv.eice,2018年6月16日 22:45
曹祐齊,100005051629230,2018年6月16日 22:46
陳昱花,yuflower1004,2018年6月16日 22:46
熊怡鈞,100000516582341,2018年6月16日 22:52
Chieh Wang,chieh.wang.1,2018年6月16日 22:58
Yen Color,color.yen.549,2018年6月16日 23:04
黃勤,quan.jiang.31,2018年6月16日 23:14
田揚駿,r19810510,2018年6月16日 23:19
胡大財,hu.zi.946,2018年6月16日 23:21
郭宇軒,100003790127797,2018年6月16日 23:24
沈薏杉,100001396663701,2018年6月16日 23:41
Shi Peiqian,hyperlinx,2018年6月16日 23:45
林彥廷,cosets3307,2018年6月16日 23:49
James Worker,yeh.james.5,2018年6月16日 23:49
蔡旻學,dai.z.shen,2018年6月17日 0:02
陳昭安,100000079466113,2018年6月17日 0:06
劉丞剛,tommyliu860624,2018年6月17日 0:07
Aidan Cheng,ANAidanCheng,2018年6月17日 0:10
張哲偉,100000437835682,2018年6月17日 0:18
Peter Chi,ji.y.liang,2018年6月17日 0:19
黃梓軒,100001928811162,2018年6月17日 0:25
Utena Huang,ajllbdajllb,2018年6月17日 0:26
Lin Yi Xuan,yixuan.lin.9216,2018年6月17日 0:30
陳品嘉,100001043146276,2018年6月17日 0:44
Ching Lu,ChinginJC,2018年6月17日 0:47
林靖潼,100000400333125,2018年6月17日 0:48
茲米塔,edward.chen.58173,2018年6月17日 0:48
周宣,len.chou,2018年6月17日 1:20
Wendy Hsu,wendy9wendy,2018年6月17日 1:21
陳念綺,100000159593500,2018年6月17日 1:31
衡 エコ,tpshen50707,2018年6月17日 1:57
奈斯,100014982157944,2018年6月17日 1:59
角角,jojo.jane,2018年6月17日 2:32
Qiong Ru Liang,kong.kong.790,2018年6月17日 2:52
雷雷,ting19961204,2018年6月17日 2:55
Ani Chang,ani.chang1,2018年6月17日 5:14
單細胞,100002179264814,2018年6月17日 7:08
許小貓,100000453121855,2018年6月17日 7:31
宜庭吳,100000328435348,2018年6月17日 8:30
Cindy Lin,cindy.lin.167,2018年6月17日 8:38
楊孟潔,yang.mengjie,2018年6月17日 8:42
ShinYi Wang,knowlonely,2018年6月17日 9:17
許祥泰,hsiangtai.hsu,2018年6月17日 9:30
陳亭,100003099994245,2018年6月17日 9:37
鄭家羽,100002114858708,2018年6月17日 10:01
廖浩廷,j22353801,2018年6月17日 10:29
陳彥魁,George.Y.K.Chen,2018年6月17日 10:47
張尹涵,100001806619499,2018年6月17日 10:54
王浚宇,jyun.yu.w,2018年6月17日 10:56
陳世豪,SeeHow.Teng,2018年6月17日 10:57
盧臆雯,100009905282799,2018年6月17日 11:01
鄭羽婷,zheng.ting.338,2018年6月17日 11:02
Shelly Yang,shelly.yang.7777,2018年6月17日 11:27
William Tu,100000540403234,2018年6月17日 12:20
簡瑋綸,100002126880673,2018年6月17日 12:22
鄭大頭,datouz1,2018年6月17日 12:30
Stal Kry,lightcorridor,2018年6月17日 12:40
楊婷安,100000360822607,2018年6月17日 12:43
陳冠儒,100007070882850,2018年6月17日 13:39
洛肯,tzuyu.ovo,2018年6月17日 14:13
陳可昀,100002833375031,2018年6月17日 14:15
KA BA,Yuki.0v0y,2018年6月17日 14:18
謝宜臻,xia.shang.5,2018年6月17日 14:30
廖盈盈,100004547792527,2018年6月17日 14:49
張勻薰,yunxunchang,2018年6月17日 18:44
甘馥嘉,katten2011,2018年6月17日 19:32
鄭靖威,zheng.j.wei.16,2018年6月17日 19:51
張勻瑄,stp200006,2018年6月17日 19:55
Yu Chun,100022156060491,2018年6月17日 20:26
楊玠霆,100012429967945,2018年6月17日 20:49
綿子,100009398292539,2018年6月17日 21:34
Wallace Chang,wallace.chang.90,2018年6月17日 21:43
Ching Hung,liching0930,2018年6月17日 22:30
許哲宇,100004624810439,2018年6月16日 19:59
Too Ying Ying,MapleToo2,2018年6月16日 19:59
He-Ren Zhuang,100009715475904,2018年6月16日 20:00
張辰宇,100000730713045,2018年6月16日 20:03
翁偵皓,mars.weng.94,2018年6月16日 20:08
周瑜芯,100000983062134,2018年6月16日 22:25
Bei Sin Yu,100021918275205,2018年6月16日 22:29
姵妤,peggy.chan.37819,2018年6月16日 22:49
錫艷,100000286965955,2018年6月16日 22:52
柯允平,so.mon.7,2018年6月16日 23:12
王河河,wang.john.5895,2018年6月16日 23:13
史軒榕,100007519664551,2018年6月16日 23:13
Yen Color,color.yen.549,2018年6月16日 23:14
蔡雯檸,100001342666828,2018年6月16日 23:25
Annabelle Tsai,ItsMonsterBird,2018年6月16日 23:42
林彥廷,cosets3307,2018年6月16日 23:49
黃柏瑜,100001135255925,2018年6月16日 23:56
劉律佑,leo.liu.940,2018年6月17日 0:01
周哲立,100008112313113,2018年6月17日 0:39
Tasha Yang,tasha.yang1,2018年6月17日 1:20
Tammy Chan,wuchocho,2018年6月17日 2:07
Ie Handle,bai.ting.39,2018年6月17日 2:41
Qiong Ru Liang,kong.kong.790,2018年6月17日 9:03
譚啟妘,100000644685956,2018年6月17日 9:10
楊庭維,brandonyangtingwei,2018年6月17日 12:54
林晉廷,100002335345809,2018年6月17日 16:41
Awei Lee,awei.li.378,2018年6月17日 17:26
Awei Lee,awei.li.378,2018年6月17日 17:26
李季衡,100000732035803,2018年6月17日 17:58
陳奇異,kisea616,2018年6月17日 18:15
呂冠頡,q39142897,2018年6月17日 21:17
高士為,100001848164231,2018年6月16日 20:04
Tan Cee Wei,100007824857732,2018年6月16日 20:05
